id;updated;type;band;mode;network;network_id;district;call;city;channel;output;tx_shift;access;status;lat;lng;locator;masl;magl;watt_pep;dir;ant;backup
681;"2014-11-02";"Beacon";10;"CW";"";"";"OH5";"OH5SHF";"Kouvola";"";28.2285;"";"";"QRT";60.867;26.7;"KP30IU";145;"";50;"25 deg / 180 deg";"Dipole";0
682;"2025-07-31";"Repeater";10;"FM";"";"";"LA";"LA1XRR";"Oslo / Heggedal";"";29.65;-0.1;110.9;"QRT";59.782;10.41;"JO59FS";"";"";"";"";"";0
683;"2014-05-22";"Beacon";10;"CW";"";"";"OH9";"OH9TEN";"Rovaniemi / Pirttikoski";"";28.267;"";"";"QRV";66.3542;27.2083;"KP36OI";193;"";20;"Omni";"1/2 GP";0
684;"2014-05-22";"Beacon";10;"CW";"";"";"OH2";"OH2B";"Lohja";"";28.2;"";"";"QRV";60.25;24.083;"KP20AG";63;"";100;"Omni";"";0
685;"2013-11-06";"Beacon";10;"CW";"";"";7;"SK7GH/B";"Värnamo";"";28.298;"";"";"QRV";57.23;14.13;"JO77BF";230;10;5;"Omni";"";0
686;"2013-08-07";"Beacon";10;"CW";"";"";"LA";"LA5TEN";"Ås";"";28.2375;"";"";"";59.6647;10.7946;"JO59JP";50;"";15;"Omni";"5/8 GP";0
687;"2013-08-07";"Beacon";10;"CW";"";"";"LA";"LA9TEN";"Gjøvik / Snertingdal";"";28.214;"";"";"QRV";60.8919;10.3882;"JP50EV";430;"";18;"Omni";"5/8 GP";0
688;"2013-08-07";"Beacon";10;"CW";"";"";"LA";"LA4TEN";"Egersund";"";28.211;"";"";"QRV";58.479;5.875;"JO28WL";"";"";250;"Omni";"";0
689;"2023-12-08";"Beacon";10;"CW";"";"";"LA";"LA6TEN";"Kirkenes";"";28.282;"";"";"QRV";69.6666;29.9166;"KP59XQ";70;"";15;"Omni";"GP";0
690;"";"Repeater";10;"FM";"";"";6;"SM6VBT/R";"Mölndal";"RH8";29.69;-0.1;118.8;"QRV";57.65;12.0166;"JO67AP";"";"";"";"";"";0
692;"2016-12-22";"Repeater";23;"FM";"";"";"OZ";"OZ5REE";"Ballerup";"RM0";1297;-6;"";"QRV";55.7236;12.356;"JO65ER";30;"";"";"";"";0
693;"2017-08-12";"Repeater";23;"FM";"";"";"OH3";"OH3RNE";"Tampere (Tammerfors)";"RM0";1297;-6;"Carrier";"QRT";61.505;23.743;"KP11UM";247;137;30;"";"VX4000";0
694;"2017-09-17";"Link";23;"FM";"Echolink";839597;5;"SM5RVH";"Nyköping";"";1297.5;"";"Carrier";"QRV";58.71;16.975;"JO88LQ";38;10;50;"Omni";"Vertical";0
696;"2025-09-30";"Repeater";2;"FM / DMR";"Brandmeister";240615;6;"SK6RFP";"Bengtsfors";"RV56";145.7;-0.6;"118.8 / CC 6";"QRV";59.0053;12.2525;"JO69CA";185;"3​5";25;"Omni";"2 stackad dipol";1
697;"2025-09-30";"Repeater";70;"FM / DMR";"Brandmeister";240616;6;"SL6ZYW/R";"Bengtsfors";"RU375";434.6875;-2;"114.8 / CC 6";"QRV";59.0053;12.2525;"JO69CA";185;35;45;"Omni";"4 stackad dipol";1
699;"2021-10-18";"Repeater";2;"FM";"SvxReflector";"";5;"SK5AS/R";"Linköping";"RV63";145.7875;-0.6;"82.5 / DTMF 5";"QRV";58.56;15.542;"JO78SN";275;130;25;"160°";"8 dBi";2
700;"2023-12-01";"Repeater";2;"FM";"Echolink";788590;5;"SM5RYI/R";"Sala";"RV57";145.7125;-0.6;82.5;"QRV";59.938;16.625;"JO89HW";"";11;25;"Omni";"Rx: Diamond X-300<br>Tx: 2 stackade Vårgårda-dipoler";2
