Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
122,OCKERO,145.75,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6RKI | RV60 | Öckerö | SvxReflector | D6,,,,
123,LANGED,144.525,-,0.6,Tone,146.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SM6FZG | Långedrag | Echolink | D6,,,,
124,KUNGSH,145.675,-,0.6,Tone,94.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6IF | RV54 | Kungshamn | SvxReflector / Brandmeister | D6,,,,
125,MYGGEN,144.6625,-,0.6,Tone,146.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SM6FZG | Myggenäs | Echolink | D6,,,,
126,BOKENA,145.6,-,0.6,Tone,118.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6IF/R | RV48 | Bokenäs | SvxReflector | D6,,,,
127,UDDEVA,145.7375,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SL6ZAQ | RV59 | Uddevalla | SvxReflector / Brandmeister | D6,,,,
128,GULDHE,145.65,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6RFQ | RV52 | Guldheden | SvxReflector | D6,,,,
129,GULDH1,144.575,-,0.6,Tone,146.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SK6AG | Guldheden | Echolink | D6,,,,
130,GULDH2,144.675,-,0.6,Tone,146.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SM6FZG | Guldheden | Echolink | D6,,,,
131,KORTED,144.6,-,0.6,Tone,146.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SM6FZG | Kortedala | Echolink | D6,,,,
